Source;LoadingType;ProblemInstance;ExecutionTime;ProblamGroup
TEMPELMEIER;DISK;TM_221AC_2;125,2820089;TM_2
TEMPELMEIER;DISK;TM_222AC_2;122,409734;TM_2
TEMPELMEIER;DISK;TM_223AC_2;120,7174807;TM_2
TEMPELMEIER;DISK;TM_224AC_2;121,4922404;TM_2
TEMPELMEIER;DISK;TM_231AC_2;119,9885604;TM_2
TEMPELMEIER;DISK;TM_232AC_2;132,8931937;TM_2
TEMPELMEIER;DISK;TM_233AC_2;128,8204906;TM_2
TEMPELMEIER;DISK;TM_234AC_2;127,1164496;TM_2
TEMPELMEIER;DISK;TM_211GA_1;139,0487082;TM_2
TEMPELMEIER;DISK;TM_212GA_1;126,4376228;TM_2
TEMPELMEIER;DISK;TM_213GA_1;133,6642077;TM_2
TEMPELMEIER;DISK;TM_214GA_1;137,6288073;TM_2
TEMPELMEIER;DISK;TM_221GA_1;140,805738;TM_2
TEMPELMEIER;DISK;TM_222GA_1;136,3975246;TM_2
TEMPELMEIER;DISK;TM_223GA_1;136,7752359;TM_2
TEMPELMEIER;DISK;TM_224GA_1;128,7083435;TM_2
TEMPELMEIER;DISK;TM_231GA_1;122,1985588;TM_2
TEMPELMEIER;DISK;TM_232GA_1;121,233963;TM_2
TEMPELMEIER;DISK;TM_233GA_1;122,6809287;TM_2
TEMPELMEIER;DISK;TM_234GA_1;117,0046797;TM_2
TEMPELMEIER;DISK;TM_211GA_2;115,711905;TM_2
TEMPELMEIER;DISK;TM_212GA_2;113,8105454;TM_2
TEMPELMEIER;DISK;TM_213GA_2;113,9796708;TM_2
TEMPELMEIER;DISK;TM_214GA_2;116,2468319;TM_2
TEMPELMEIER;DISK;TM_221GA_2;114,9666224;TM_2
TEMPELMEIER;DISK;TM_222GA_2;114,2881138;TM_2
TEMPELMEIER;DISK;TM_223GA_2;116,6128738;TM_2
TEMPELMEIER;DISK;TM_224GA_2;115,5588651;TM_2
TEMPELMEIER;DISK;TM_231GA_2;114,7524192;TM_2
TEMPELMEIER;DISK;TM_232GA_2;116,1700289;TM_2
TEMPELMEIER;DISK;TM_233GA_2;115,8954704;TM_2
TEMPELMEIER;DISK;TM_234GA_2;113,1815095;TM_2
TEMPELMEIER;DISK;TM_211GC_1;118,6788065;TM_2
TEMPELMEIER;DISK;TM_212GC_1;114,1596751;TM_2
TEMPELMEIER;DISK;TM_213GC_1;114,4860697;TM_2
TEMPELMEIER;DISK;TM_214GC_1;113,9893231;TM_2
TEMPELMEIER;DISK;TM_221GC_1;113,8080487;TM_2
TEMPELMEIER;DISK;TM_222GC_1;115,6203322;TM_2
TEMPELMEIER;DISK;TM_223GC_1;112,5034933;TM_2
TEMPELMEIER;DISK;TM_224GC_1;113,2933655;TM_2
TEMPELMEIER;DISK;TM_231GC_1;114,8670838;TM_2
TEMPELMEIER;DISK;TM_232GC_1;113,5335889;TM_2
TEMPELMEIER;DISK;TM_233GC_1;115,5285103;TM_2
TEMPELMEIER;DISK;TM_234GC_1;112,6536469;TM_2
TEMPELMEIER;DISK;TM_211GC_2;112,2184896;TM_2
TEMPELMEIER;DISK;TM_212GC_2;112,9654329;TM_2
TEMPELMEIER;DISK;TM_213GC_2;115,0465415;TM_2
TEMPELMEIER;DISK;TM_214GC_2;116,5570352;TM_2
TEMPELMEIER;DISK;TM_221GC_2;114,528415;TM_2
TEMPELMEIER;DISK;TM_222GC_2;116,3679585;TM_2
TEMPELMEIER;DISK;TM_223GC_2;114,3485694;TM_2
TEMPELMEIER;DISK;TM_224GC_2;113,8287845;TM_2
TEMPELMEIER;DISK;TM_231GC_2;115,2805588;TM_2
TEMPELMEIER;DISK;TM_232GC_2;112,2005975;TM_2
TEMPELMEIER;DISK;TM_233GC_2;112,6233788;TM_2
TEMPELMEIER;DISK;TM_234GC_2;112,3596582;TM_2
TEMPELMEIER;DISK;TM_311AA_1;113,3670194;TM_3
TEMPELMEIER;DISK;TM_312AA_1;115,2486699;TM_3
TEMPELMEIER;DISK;TM_321AA_1;113,3012018;TM_3
TEMPELMEIER;DISK;TM_322AA_1;113,6944613;TM_3
TEMPELMEIER;DISK;TM_331AA_1;115,6007395;TM_3
TEMPELMEIER;DISK;TM_332AA_1;113,5754769;TM_3
TEMPELMEIER;DISK;TM_311AA_2;116,5516567;TM_3
TEMPELMEIER;DISK;TM_312AA_2;114,4689298;TM_3
TEMPELMEIER;DISK;TM_321AA_2;114,1898494;TM_3
TEMPELMEIER;DISK;TM_322AA_2;112,2952893;TM_3
TEMPELMEIER;DISK;TM_331AA_2;113,6420603;TM_3
TEMPELMEIER;DISK;TM_332AA_2;114,571208;TM_3
TEMPELMEIER;DISK;TM_311AC_1;112,6910319;TM_3
TEMPELMEIER;DISK;TM_312AC_1;112,5078566;TM_3
TEMPELMEIER;DISK;TM_321AC_1;112,9277022;TM_3
TEMPELMEIER;DISK;TM_322AC_1;111,9819562;TM_3
TEMPELMEIER;DISK;TM_331AC_1;114,2796881;TM_3
TEMPELMEIER;DISK;TM_332AC_1;112,4202182;TM_3
TEMPELMEIER;DISK;TM_311AC_2;112,1291356;TM_3
TEMPELMEIER;DISK;TM_312AC_2;113,9030528;TM_3
TEMPELMEIER;DISK;TM_321AC_2;113,8311799;TM_3
TEMPELMEIER;DISK;TM_322AC_2;117,2706776;TM_3
TEMPELMEIER;DISK;TM_331AC_2;115,1935852;TM_3
TEMPELMEIER;DISK;TM_332AC_2;117,0728011;TM_3
TEMPELMEIER;DISK;TM_311GA_1;116,0504787;TM_3
TEMPELMEIER;DISK;TM_312GA_1;115,2755198;TM_3
TEMPELMEIER;DISK;TM_321GA_1;116,5704672;TM_3
TEMPELMEIER;DISK;TM_322GA_1;113,5703125;TM_3
TEMPELMEIER;DISK;TM_331GA_1;114,768497;TM_3
TEMPELMEIER;DISK;TM_332GA_1;116,8241487;TM_3
TEMPELMEIER;DISK;TM_311GA_2;116,2435303;TM_3
TEMPELMEIER;DISK;TM_312GA_2;115,250839;TM_3
TEMPELMEIER;DISK;TM_321GA_2;113,554446;TM_3
TEMPELMEIER;DISK;TM_322GA_2;112,2895508;TM_3
TEMPELMEIER;DISK;TM_331GA_2;112,6904182;TM_3
TEMPELMEIER;DISK;TM_332GA_2;113,3866935;TM_3
TEMPELMEIER;DISK;TM_311GC_1;117,9060102;TM_3
TEMPELMEIER;DISK;TM_312GC_1;113,0154173;TM_3
TEMPELMEIER;DISK;TM_321GC_1;114,9673939;TM_3
TEMPELMEIER;DISK;TM_322GC_1;113,3097355;TM_3
TEMPELMEIER;DISK;TM_331GC_1;113,2638865;TM_3
TEMPELMEIER;DISK;TM_332GC_1;114,3952281;TM_3
TEMPELMEIER;DISK;TM_311GC_2;112,0312612;TM_3
TEMPELMEIER;DISK;TM_312GC_2;113,5533273;TM_3
